source,missing_set,experiment_mode,experiment,model_type,metric,point_estimate,bootstrap_mean,ci95_low,ci95_high,n_bootstrap,n_runs,n_per_run
external_10714,complete,full_reference,full_reference,lightgbm,r2,0.998998458952831,0.9989981141988592,0.998901070969908,0.9990608326581436,200,5,10714
external_10714,complete,full_reference,full_reference,lightgbm,mae,0.2919524011267062,0.291456793486355,0.2807772198624525,0.3066356490032919,200,5,10714
external_10714,complete,full_reference,full_reference,lightgbm,rmse,0.4769703877727598,0.4762348982922868,0.4619060238494076,0.4983570735956602,200,5,10714
external_10714,complete,full_reference,full_reference,lightgbm,nmae,0.0048216746676582,0.0048295686031233,0.0046371928288455,0.0050570544938417,200,5,10714
external_10714,complete,full_reference,full_reference,lightgbm,accuracy,0.9857009520253872,0.9857617136456972,0.9845062535000932,0.9866903117416465,200,5,10714
external_10714,complete,full_reference,full_reference,lightgbm,macro_f1,0.962503952447198,0.9624725570419548,0.9589673636488898,0.9654288854673598,200,5,10714
external_10714,complete,full_reference,full_reference,lr,r2,0.7193606118316531,0.7194190664765884,0.7188563586473604,0.719948549270987,200,5,10714
external_10714,complete,full_reference,full_reference,lr,mae,6.4536517763793615,6.453623590571727,6.45084235217661,6.456833835032415,200,5,10714
external_10714,complete,full_reference,full_reference,lr,rmse,7.992915699136193,7.992777784074559,7.984753695507224,8.003599104209888,200,5,10714
external_10714,complete,full_reference,full_reference,lr,nmae,0.1065838443662982,0.106583706182421,0.1065277379244095,0.1066363453902757,200,5,10714
external_10714,complete,full_reference,full_reference,lr,accuracy,0.6523240619749859,0.6523251820048535,0.6519693858502894,0.6527347395930558,200,5,10714
external_10714,complete,full_reference,full_reference,lr,macro_f1,0.3637075579205421,0.3637056341060024,0.3633760607587498,0.3641288608025328,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,r2,0.8465485047195276,0.846499279368146,0.8450986721652632,0.8481900009140602,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,mae,4.738442431367514,4.7379163847428565,4.717554835260884,4.755210262682275,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,rmse,5.910305463200571,5.911136533172365,5.877000661238725,5.938172872893178,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,nmae,0.078256687553551,0.0782419765390416,0.0779117231256958,0.0785668098631843,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,accuracy,0.6769460518947171,0.676927571401904,0.6759562254993466,0.6778262086988986,200,5,10714
external_10714,complete,full_reference,full_reference,mpr,macro_f1,0.5074364523284867,0.5075203309767703,0.5049018599844447,0.5100521055520406,200,5,10714
external_10714,complete,full_reference,full_reference,rf,r2,0.9976514966133092,0.9976502492417328,0.9975522239718522,0.9977451862037648,200,5,10714
external_10714,complete,full_reference,full_reference,rf,mae,0.4059966965341309,0.4058542842231358,0.4003777039387722,0.411685344518077,200,5,10714
external_10714,complete,full_reference,full_reference,rf,rmse,0.731013251756576,0.7312766956938114,0.7179896735119132,0.7447555629214412,200,5,10714
external_10714,complete,full_reference,full_reference,rf,nmae,0.006705147754486,0.0067083547979006,0.0066109058679587,0.0067828391159152,200,5,10714
external_10714,complete,full_reference,full_reference,rf,accuracy,0.9785327608736234,0.97855628150084,0.977562068321822,0.9792052454732126,200,5,10714
external_10714,complete,full_reference,full_reference,rf,macro_f1,0.908791096090586,0.909126070423432,0.90162303983809,0.9148704920001366,200,5,10714
external_10714,complete,full_reference,full_reference,svm,r2,0.9650341943547712,0.965052783982312,0.964680108421856,0.9653127010137258,200,5,10714
external_10714,complete,full_reference,full_reference,svm,mae,2.123649554304861,2.123524857747726,2.116163272250412,2.129026374479421,200,5,10714
external_10714,complete,full_reference,full_reference,svm,rmse,2.821286416064833,2.8210597662236205,2.810681000671536,2.835533116403781,200,5,10714
external_10714,complete,full_reference,full_reference,svm,nmae,0.0350726598563973,0.0350783860728254,0.0349744888752938,0.0351681981928065,200,5,10714
external_10714,complete,full_reference,full_reference,svm,accuracy,0.9002240059734925,0.9001736046294567,0.8994740526414037,0.9009146910584284,200,5,10714
external_10714,complete,full_reference,full_reference,svm,macro_f1,0.7990559292948496,0.7988164979689202,0.79277221939623,0.8043678746777336,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,r2,0.9992708121952576,0.9992700652061116,0.9992304827518904,0.9993090224080402,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,mae,0.2503810329953525,0.2504705106184993,0.2475250692515313,0.2532378928238094,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,rmse,0.4072287949711839,0.407488137456668,0.3963618244867048,0.4176361665673259,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,nmae,0.0041351120230446,0.0041349605061009,0.0040840124802021,0.0041822367689021,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,accuracy,0.9878663431024826,0.9878598095949224,0.9865773753966772,0.9889331715512414,200,5,10714
external_10714,complete,full_reference,full_reference,xgboost,macro_f1,0.970809569655005,0.970947015384072,0.966562015081518,0.9735891179761038,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,r2,-0.0628499679821148,-0.0627863587946153,-0.0654921832967037,-0.0600710013359191,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,mae,14.249435503485769,14.24763581069916,14.22602576272037,14.268258209399596,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,rmse,15.554883906819676,15.555922989639637,15.536160480277308,15.575933364503166,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,nmae,0.2353333691740011,0.2353325003125515,0.2349748476791143,0.2356581510754978,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,accuracy,0.3,0.3001052828075415,0.297311461638977,0.3025760686951652,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,macro_f1,0.2838142037668,0.2835047265136176,0.276305637698848,0.2916311042928566,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,r2,-0.3248357082484186,-0.3248263643635659,-0.327315822811314,-0.3230367199191432,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,mae,16.03763277164209,16.03648342171009,16.026662129968575,16.050960314855164,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,rmse,17.366493179745113,17.366517300018888,17.354690353319896,17.38270774910708,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,nmae,0.2648659417281931,0.2648662919982286,0.264684554290428,0.2651293729549021,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,accuracy,0.2773193951838716,0.2773181818181818,0.2768135150270674,0.2778234086242299,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lr,macro_f1,0.2053699778024487,0.2053464848045204,0.2048642235643631,0.2057969068143462,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,r2,-0.3086911707118641,-0.3087089848594826,-0.3131294233433903,-0.3049082716552964,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,mae,15.988692256153712,15.988694815096864,15.9724498225314,16.00536723733868,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,rmse,17.26033899860835,17.260594460300503,17.238386716636075,17.285303035354822,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,nmae,0.2640576755764444,0.26406152084953,0.2637778826899979,0.2643704418270934,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,accuracy,0.2414597722605936,0.2412420197871943,0.2380553481426171,0.2458572895277207,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,mpr,macro_f1,0.2399269585954568,0.2399304113140468,0.2373429146524281,0.2442138622078901,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,r2,0.1013825856676813,0.1013693478096457,0.095953334435002,0.1050944132624039,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,mae,12.140232018080486,12.142433634161277,12.09727285714138,12.205333253550467,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,rmse,14.302651222752274,14.303223140964032,14.274804381649284,14.33977933311856,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,nmae,0.200499290141709,0.200475966206318,0.199821293926099,0.2015032958771466,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,accuracy,0.3970505880156804,0.3972023520627217,0.3899906664177711,0.402520067201792,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,rf,macro_f1,0.3625506663120911,0.3626185441802612,0.3556856749136093,0.3691606429447335,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,r2,-0.3726561003540091,-0.3726451671270752,-0.3748841237026266,-0.3704293850885962,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,mae,16.207220411492635,16.207135371627786,16.187310209734328,16.226899194764872,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,rmse,17.67713867325706,17.677393301365452,17.662770504320164,17.69148291051159,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,nmae,0.2676667285135034,0.2676525142160259,0.2673908375245794,0.2679955520901508,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,accuracy,0.2431398170617883,0.2431637110322942,0.242561134963599,0.2437931678178085,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,svm,macro_f1,0.2941995855000844,0.2940670520994258,0.2905214127387349,0.2978766075676397,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,r2,-0.0717615929254908,-0.0716872836675975,-0.0743129913970824,-0.0693673013567104,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,mae,14.245085428932564,14.243997846323582,14.22455782726146,14.26821976689226,200,5,10714
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,xgboost,rmse,15.619963277627798,15.620068447384549,15.603744143013191,15.640076602061228,200,5,10714
