dataset,feature,n,pearson_r,spearman_r
processed_60714,DO,60714,0.7545123570898674,0.6820277938932676
processed_60714,BOD,60714,-0.3158260753009591,-0.7253538829839006
processed_60714,NH3N,60714,-0.5980601651181139,-0.786221733968771
processed_60714,EC,60714,-0.2004139313385648,-0.5053209551421809
processed_60714,SS,60714,-0.05412115990627004,-0.4588539942128243
revision_subset_50000,DO,50000,0.7717988099200223,0.6922475132928513
revision_subset_50000,BOD,50000,-0.29094660260841126,-0.7955157896185242
revision_subset_50000,NH3N,50000,-0.6346246273039701,-0.8222001869727458
revision_subset_50000,EC,50000,-0.21016972325703046,-0.540775672348033
revision_subset_50000,SS,50000,-0.03642867851683779,-0.47837836795700045
