source,missing_set,experiment_mode,experiment,seed,model_type,model_path,n,latency_s,training_s,r2,mae,rmse,nmae,accuracy,macro_f1,residual_mean,residual_std
internal_test,complete,full_reference,full_reference,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10000,0.0131155923008918,0.0257293879985809,0.7505079240501376,7.915378097400775,10.048633407310778,0.091857701025888,0.5483,0.4746993687949775,-0.177906387213064,10.04756079950318
external_10714,complete,full_reference,full_reference,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10714,0.0214650649577379,0.0257293879985809,0.7202374432792198,6.4482568062492645,7.980426482584659,0.1064947449421843,0.6530707485532947,0.36447238201456,-0.0652049316053302,7.980532539664836
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10000,0.0289888009428977,0.0257293879985809,0.6818221511435483,9.188786049087623,11.347850221529631,0.106635558188321,0.4777,0.4159147210556448,-0.1175187957139715,11.347809095153568
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10714,0.0215743761509656,0.0257293879985809,-0.3063742170240067,15.908567729972903,17.245075783555894,0.2627343968616499,0.2800074668657831,0.2058921769057035,-15.006204720180705,8.49783494514328
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/reduced_retraining/missing_bod/lr.joblib,10000,0.0023655220866203,0.0124411173164844,0.6831653154933817,9.156876761048624,11.323872833197292,0.1062652519560012,0.4797,0.4140531163361622,-0.1270594817556411,11.323726175953324
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/reduced_retraining/missing_bod/lr.joblib,10714,0.0036568213254213,0.0124411173164844,-0.3225680577051752,16.023515741724772,17.351631733759316,0.2646327950739021,0.2780474145977226,0.2057145080796468,-14.984638384117488,8.749107433750455
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/indicator_reconstruction/missing_bod/lr.joblib,10000,0.0161646176129579,0.0913570243865251,0.6831653154933817,9.156876761048624,11.323872833197292,0.1062652519560012,0.4797,0.4140531163361622,-0.1270594817556407,11.323726175953324
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/indicator_reconstruction/missing_bod/lr.joblib,10714,0.0340113472193479,0.0913570243865251,-0.3225680577051744,16.02351574172477,17.351631733759312,0.264632795073902,0.2780474145977226,0.2057145080796468,-14.984638384117488,8.749107433750442
internal_test,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10000,0.0032595042139291,0.0257293879985809,0.6520148404829373,9.746534655633576,11.8674930439815,0.1131082123202225,0.4412,0.2987155008699506,-0.0567224253069823,11.867950899008248
external_10714,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,0,lr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_0/full_reference/lr.joblib,10714,0.0146026536822319,0.0257293879985809,0.6186213072793578,7.645687625560277,9.317717086946011,0.1262706461694513,0.620776554041441,0.2669497720260388,-0.5691207197404382,9.30075412228717
