dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
1000,dataV1_1000,1,lr,train,800,0.8237232949489718,6.570283401790659,8.358062340511632,0.0818930998602849,0.6825,0.5261291292946869,0.0928316731005907,0.003801068291068
1000,dataV1_1000,1,lr,test,200,0.7629543176942093,6.848096550654095,9.304581792645928,0.0936812113632571,0.615,0.4139620364274742,0.0928316731005907,0.0028887707740068
1000,dataV1_1000,1,mpr,train,800,0.932225015033027,4.132373979770271,5.182542341843623,0.0515065932914155,0.79,0.6155093928804747,0.02588433586061,0.0539708714932203
1000,dataV1_1000,1,mpr,test,200,0.5810049147373989,5.22095274393052,12.370444288189583,0.0714220621604722,0.73,0.5577196715137157,0.02588433586061,0.0087283067405223
1000,dataV1_1000,1,svm,train,800,0.9840669213867288,1.6971311409961771,2.512800405729343,0.0211533234575118,0.905,0.8946460383228534,0.1071398742496967,0.0614219587296247
1000,dataV1_1000,1,svm,test,200,0.9573199953446332,2.3865504155668407,3.9481447104558978,0.0326477485029663,0.845,0.8197565008453376,0.1071398742496967,0.0196479074656963
1000,dataV1_1000,1,rf,train,800,0.998147931638479,0.5647119583333319,0.8567155514578336,0.0070386633221155,0.97875,0.9704558437581144,1.2821957115083933,0.1272423882037401
1000,dataV1_1000,1,rf,test,200,0.9848021798087072,1.6452676666666617,2.355979375720883,0.0225070816233469,0.89,0.8846960167714885,1.2821957115083933,0.1028008796274662
1000,dataV1_1000,1,xgboost,train,800,0.9999547909739204,0.0962000280380249,0.1338507224776747,0.0011990530728907,1.0,1.0,35.56702367775142,0.2425321470946073
1000,dataV1_1000,1,xgboost,test,200,0.9929536394292932,1.1459452491760254,1.6042175556977407,0.0156764055974832,0.91,0.9031087506083136,35.56702367775142,0.0985414274036884
1000,dataV1_1000,1,lightgbm,train,800,0.99958546948878,0.258564602493085,0.4053091377143736,0.0032227920041516,0.9875,0.9804671924043488,46.00243725627661,0.0128295551985502
1000,dataV1_1000,1,lightgbm,test,200,0.9930593792999716,1.114743938701975,1.5921353641565792,0.0152495750848423,0.95,0.9371667474419844,46.00243725627661,0.0062825959175825
1000,dataV1_1000,2,lr,train,800,0.820092075164575,6.601043981225569,8.367580719217704,0.0824203268975598,0.64625,0.4814613149682744,0.0803160071372985,0.0116470512002706
1000,dataV1_1000,2,lr,test,200,0.783412493965364,7.056517430435606,9.234254515588752,0.0929957489514444,0.68,0.5580449454267133,0.0803160071372985,0.0032741967588663
1000,dataV1_1000,2,mpr,train,800,0.922166384320554,4.394834102184035,5.503745789994991,0.0548736933722566,0.765,0.5961847204619058,0.0558304786682128,0.072342287749052
1000,dataV1_1000,2,mpr,test,200,0.9049947544017168,4.970976960576751,6.115879678752814,0.0655110300550441,0.75,0.7377470780625587,0.0558304786682128,0.0038260892033576
1000,dataV1_1000,2,svm,train,800,0.9818617035006864,1.8412207415951736,2.656886559806518,0.0229893961992155,0.89,0.861153986667165,0.084425201639533,0.0423088166862726
1000,dataV1_1000,2,svm,test,200,0.9761698532800354,2.115814124046131,3.0630105900264897,0.0278836864001862,0.89,0.8926495339708517,0.084425201639533,0.013496309518814
1000,dataV1_1000,2,rf,train,800,0.9979626820039622,0.6036832499999947,0.8904390018817714,0.0075375608690222,0.97125,0.9692776694191624,1.7803437765687704,0.1787266284227371
1000,dataV1_1000,2,rf,test,200,0.9835644166820492,1.628501500000006,2.5437691811572805,0.0214615379546653,0.95,0.9327532717651472,1.7803437765687704,0.1085076760500669
1000,dataV1_1000,2,xgboost,train,800,0.9999563700212316,0.0969147897720337,0.1303068553626851,0.0012100735394185,0.99875,0.9986329460013672,1.8759220596402884,0.1201023440808057
1000,dataV1_1000,2,xgboost,test,200,0.9920259141619888,1.1248621002197263,1.7718444533428428,0.0148242237772763,0.965,0.96782244381006,1.8759220596402884,0.1235545929521322
1000,dataV1_1000,2,lightgbm,train,800,0.9996240729308816,0.2521707150170048,0.3824957049726115,0.003148591771969,0.98875,0.980465431886222,20.57758377492428,0.0167022682726383
